s_id,Xs,Ys,Zs,o_id,Xo,Yo,Zo

 book,-57.15657742818196, -303.87697764169525, 1780, shelf,-720.4613593339919, -229.83331883505087, 1596

 book,101.36222114562966, -253.53550331391713, 1767, shelf,-720.4613593339919, -229.83331883505087, 1596

 book,29.617801666259762, -292.49802969718166, 1908, shelf,-720.4613593339919, -229.83331883505087, 1596

 book,-82.33447227478027, -45.00006838111848, 202, shelf,-720.4613593339919, -229.83331883505087, 1596

 box,-0.0, 0.0, 0, shelf,-720.4613593339919, -229.83331883505087, 1596

 book,-19.879355112711796, -78.71424995252968, 1768, shelf,-720.4613593339919, -229.83331883505087, 1596

 book,-717.3366161346435, -192.88251893960225, 1699, shelf,-720.4613593339919, -229.83331883505087, 1596

 book,-0.0, -0.0, 0, shelf,-720.4613593339919, -229.83331883505087, 1596

 book,-0.0, -0.0, 0, shelf,-720.4613593339919, -229.83331883505087, 1596

 book,-0.0, -0.0, 0, shelf,-720.4613593339919, -229.83331883505087, 1596

 book,29.617801666259762, -292.49802969718166, 1908, shelf,-34.75397520065285, -269.72886258556315, 1887

 book,-0.0, -0.0, 0, shelf,-720.4613593339919, -229.83331883505087, 1596

 book,-0.0, -0.0, 0, shelf,-720.4613593339919, -229.83331883505087, 1596

 bag,530.1528015136718, -256.80808658724436, 1120, table,0.0, -0.0, 0

 book,-57.15657742818196, -303.87697764169525, 1780, shelf,-34.75397520065285, -269.72886258556315, 1887

 box,-0.0, 0.0, 0, shelf,-0.0, -0.0, 0

 book,-0.0, -0.0, 0, shelf,-0.0, -0.0, 0

 book,-19.879355112711796, -78.71424995252968, 1768, shelf,-25.19255409240743, -127.02142225411384, 1753

 book,-19.879355112711796, -78.71424995252968, 1768, shelf,-34.75397520065285, -269.72886258556315, 1887

 book,-0.0, -0.0, 0, shelf,-0.0, -0.0, 0

 book,-0.0, -0.0, 0, shelf,-0.0, -0.0, 0

 book,-0.0, -0.0, 0, shelf,-0.0, -0.0, 0

 book,-0.0, -0.0, 0, shelf,-0.0, -0.0, 0

 book,101.36222114562966, -253.53550331391713, 1767, shelf,-34.75397520065285, -269.72886258556315, 1887

 bag,530.1528015136718, -256.80808658724436, 1120, shelf,483.631362915039, -64.52217800815879, 690

