#,rect,class,conf,attr,attr_conf,center,coordinates
0,"[500.2037658691406, 798.7982177734375, 615.077880859375, 881.8065795898438]",basket,0.26178252696990967,[],[],"(557.6408233642578, 840.3023986816406)","(-648.3850481828053, -486.74040916773544, 1547)"
1,"[493.81005859375, 798.9593505859375, 613.23974609375, 883.9232788085938]",chair,0.42024505138397217,[],[],"(553.52490234375, 841.4413146972656)","(-655.0176834106445, -488.5864032386675, 1547)"
2,"[912.391845703125, 644.7049560546875, 1522.8155517578125, 1078.078369140625]",desk,0.7167484164237976,[],[],"(1217.6036987304688, 861.3916625976562)","(0.0, -0.0, 0)"
3,"[77.04459381103516, 665.3765258789062, 629.14990234375, 1061.242919921875]",desk,0.5063878893852234,[],[],"(353.0972480773926, 863.3097229003906)","(-1013.4011576374371, -543.0009328614384, 1603)"
4,"[208.14743041992188, 805.5457763671875, 614.47802734375, 1072.410400390625]",desk,0.2795288562774658,[],[],"(411.31272888183594, 938.9780883789062)","(-834.4618914922078, -610.3095825691516, 1460)"
5,"[106.6060791015625, 549.2308959960938, 1173.973388671875, 1066.238037109375]",desk,0.25432801246643066,[],[],"(640.2897338867188, 807.7344665527344)","(-574.1463528951008, -483.6039425553143, 1724)"
6,"[1858.414794921875, 665.7890625, 1913.1947021484375, 835.4986572265625]",glass,0.2967493236064911,[],[],"(1885.8047485351562, 750.6438598632812)","(0.0, -0.0, 0)"
7,"[430.34619140625, 569.6834106445312, 523.6724853515625, 607.3358154296875]",hat,0.26594066619873047,[],[],"(477.00933837890625, 588.5096130371094)","(-57.85825634002685, -5.844857651359609, 115)"
8,"[994.5439453125, 461.578857421875, 1105.5150146484375, 591.1131591796875]",lamp,0.5570589900016785,[],[],"(1050.0294799804688, 526.3460083007812)","(600.8529981613159, 91.656368567862, 6407)"
9,"[16.982128143310547, 46.17551040649414, 812.1865844726562, 881.3260498046875]",lamp,0.27941858768463135,[],[],"(414.5843563079834, 463.7507801055908)","(-0.0, 0.0, 0)"
10,"[394.1810607910156, 564.7732543945312, 575.8092041015625, 832.4990844726562]",man,0.6970242261886597,[],[],"(484.99513244628906, 698.6361694335938)","(-1396.316391913096, -469.03744115344733, 2822)"
11,"[1150.03271484375, 345.2808532714844, 1880.08984375, 771.3508911132812]",railing,0.5377227663993835,[],[],"(1515.061279296875, 558.3158721923828)","(0.0, -0.0, 0)"
12,"[15.565057754516602, 6.139637470245361, 1906.1707763671875, 1078.078369140625]",room,0.48636507987976074,[],[],"(960.867917060852, 542.1090033054352)","(5.551052868366241, -13.56731534860142, 6140)"
13,"[1039.4012451171875, 566.464111328125, 1219.8348388671875, 689.3026733398438]",screen,0.2518051862716675,[],[],"(1129.6180419921875, 627.8833923339844)","(0.0, -0.0, 0)"
14,"[425.3799743652344, 625.3859252929688, 576.4177856445312, 798.2649536132812]",shirt,0.7309980988502502,[],[],"(500.8988800048828, 711.825439453125)","(-1361.043528652191, -512.3546086422346, 2846)"
15,"[1111.504638671875, 779.4638061523438, 1882.4779052734375, 1078.078369140625]",table,0.6183995604515076,[],[],"(1496.9912719726562, 928.7710876464844)","(1618.8049386342364, -1178.8017566422095, 2894)"
16,"[1566.13671875, 775.7952270507812, 1909.7745361328125, 1060.777587890625]",table,0.6007956266403198,[],[],"(1737.9556274414062, 918.2864074707031)","(0.0, -0.0, 0)"
17,"[844.3749389648438, 604.8563232421875, 1904.436279296875, 1078.078369140625]",table,0.5690603852272034,[],[],"(1374.4056091308594, 841.4673461914062)","(117.4149225870768, -85.91272017153494, 272)"
18,"[207.7923126220703, 799.4327392578125, 624.0206909179688, 1010.082275390625]",table,0.5544565320014954,[],[],"(415.90650177001953, 904.7575073242188)","(-835.9769894679387, -563.6954735526145, 1475)"
19,"[1210.480224609375, 644.844970703125, 1704.509765625, 787.0342407226562]",table,0.501630425453186,[],[],"(1457.4949951171875, 715.9396057128906)","(0.0, -0.0, 0)"
20,"[75.39974975585938, 670.3486328125, 658.7203369140625, 1063.3482666015625]",table,0.3475886881351471,[],[],"(367.06004333496094, 866.8484497070312)","(-957.3509716987609, -530.7945017176382, 1550)"
