class,coordinates,Bbox width,Bbox height
basket,"(-648.3850481828053, -486.74040916773544, 1547)",185.1148498853048,134.54279477032736
chair,"(-655.0176834106445, -488.5864032386675, 1547)",192.45596516927083,137.71244375385714
desk,"(-1013.4011576374371, -543.0009328614384, 1603)",921.900843310356,664.8603677163526
desk,"(-834.4618914922078, -610.3095825691516, 1460)",617.9611161549884,408.21800002094704
desk,"(-574.1463528951008, -483.6039425553143, 1724)",1916.813793436686,933.8606829031031
hat,"(-57.85825634002685, -5.844857651359609, 115)",11.179712295532227,4.536687316640848
lamp,"(600.8529981613159, 91.656368567862, 6407)",740.6162929534911,869.5364671104966
man,"(-1396.316391913096, -469.03744115344733, 2822)",533.9110629399615,791.5813822212364
room,"(5.551052868366241, -13.56731534860142, 6140)",12091.99907529354,6895.831205893226
shirt,"(-1361.043528652191, -512.3546086422346, 2846)",447.7641780217489,515.4962337324176
table,"(1618.8049386342364, -1178.8017566422095, 2894)",2324.163159942627,905.4360846134151
table,"(117.4149225870768, -85.91272017153494, 272)",300.3507130940755,134.85969118015436
table,"(-835.9769894679387, -563.6954735526145, 1475)",639.5175604025522,325.5373436864701
table,"(-957.3509716987609, -530.7945017176382, 1550)",941.8196980158488,638.2225308985218
